data,codigo,simbolo,tipo,compra,venda
31072024,220,A,USD,"5,6615","5,6621"
1082024,220,A,USD,"5,6675","5,6681"
2082024,220,A,USD,"5,736","5,7366"
5082024,220,A,USD,"5,764","5,7646"
6082024,220,A,USD,"5,6522","5,6528"
7082024,220,A,USD,"5,6087","5,6093"
8082024,220,A,USD,"5,6166","5,6172"
9082024,220,A,USD,"5,5109","5,5115"
12082024,220,A,USD,"5,4905","5,4911"
13082024,220,A,USD,"5,4869","5,4875"
14082024,220,A,USD,"5,4496","5,4502"
15082024,220,A,USD,"5,4645","5,4651"
16082024,220,A,USD,"5,4626","5,4632"
19082024,220,A,USD,"5,4231","5,4237"
20082024,220,A,USD,"5,4541","5,4547"
21082024,220,A,USD,"5,4701","5,4707"
22082024,220,A,USD,"5,5518","5,5524"
23082024,220,A,USD,"5,5257","5,5263"
26082024,220,A,USD,"5,4915","5,4921"
27082024,220,A,USD,"5,4963","5,4969"
28082024,220,A,USD,"5,5309","5,5315"
29082024,220,A,USD,"5,6352","5,6358"
30082024,220,A,USD,"5,6556","5,6562"
2092024,220,A,USD,"5,6224","5,623"
3092024,220,A,USD,"5,6218","5,6224"
4092024,220,A,USD,"5,6353","5,6359"
5092024,220,A,USD,"5,6043","5,6049"
6092024,220,A,USD,"5,5696","5,5702"
9092024,220,A,USD,"5,6091","5,6097"
10092024,220,A,USD,"5,6248","5,6254"
11092024,220,A,USD,"5,6381","5,6387"
12092024,220,A,USD,"5,6548","5,6554"
13092024,220,A,USD,"5,5711","5,5717"
16092024,220,A,USD,"5,5201","5,5207"
17092024,220,A,USD,"5,5004","5,501"
18092024,220,A,USD,"5,4761","5,4767"
19092024,220,A,USD,"5,4183","5,4189"
20092024,220,A,USD,"5,4769","5,4775"
23092024,220,A,USD,"5,544","5,5446"
24092024,220,A,USD,"5,4696","5,4702"
25092024,220,A,USD,"5,473","5,4736"
26092024,220,A,USD,"5,4406","5,4412"
27092024,220,A,USD,"5,4425","5,4431"
30092024,220,A,USD,"5,4475","5,4481"
1102024,220,A,USD,"5,4515","5,4521"
2102024,220,A,USD,"5,4299","5,4305"
3102024,220,A,USD,"5,4844","5,485"
4102024,220,A,USD,"5,468","5,4686"
7102024,220,A,USD,"5,462","5,4626"
8102024,220,A,USD,"5,5191","5,5197"
9102024,220,A,USD,"5,5731","5,5737"
10102024,220,A,USD,"5,5813","5,5819"
11102024,220,A,USD,"5,6257","5,6263"
14102024,220,A,USD,"5,6039","5,6045"
15102024,220,A,USD,"5,6372","5,6378"
16102024,220,A,USD,"5,6743","5,6749"
17102024,220,A,USD,"5,6752","5,6758"
18102024,220,A,USD,"5,6666","5,6672"
21102024,220,A,USD,"5,7062","5,7068"
22102024,220,A,USD,"5,6952","5,6958"
23102024,220,A,USD,"5,7143","5,7149"
24102024,220,A,USD,"5,7081","5,7087"
25102024,220,A,USD,"5,6963","5,6969"
28102024,220,A,USD,"5,6982","5,6988"
29102024,220,A,USD,"5,7134","5,714"
30102024,220,A,USD,"5,7795","5,7801"
31102024,220,A,USD,"5,7773","5,7779"
1112024,220,A,USD,"5,8067","5,8073"
4112024,220,A,USD,"5,7892","5,7898"
5112024,220,A,USD,"5,784","5,7846"
6112024,220,A,USD,"5,7642","5,7648"
7112024,220,A,USD,"5,6618","5,6624"
8112024,220,A,USD,"5,7642","5,7648"
11112024,220,A,USD,"5,7974","5,798"
12112024,220,A,USD,"5,7688","5,7694"
13112024,220,A,USD,"5,7707","5,7713"
14112024,220,A,USD,"5,7879","5,7885"
18112024,220,A,USD,"5,7597","5,7603"
19112024,220,A,USD,"5,7737","5,7743"
21112024,220,A,USD,"5,8167","5,8173"
22112024,220,A,USD,"5,8118","5,8124"
25112024,220,A,USD,"5,7996","5,8002"
26112024,220,A,USD,"5,7984","5,799"
27112024,220,A,USD,"5,8285","5,8291"
28112024,220,A,USD,"5,9865","5,9871"
29112024,220,A,USD,"6,0529","6,0535"
2122024,220,A,USD,"6,0628","6,0634"
3122024,220,A,USD,"6,0701","6,0707"
4122024,220,A,USD,"6,0575","6,0581"
5122024,220,A,USD,"5,9843","5,9849"
6122024,220,A,USD,"6,0287","6,0293"
9122024,220,A,USD,"6,0564","6,057"
10122024,220,A,USD,"6,0523","6,0529"
11122024,220,A,USD,"6,0314","6,032"
12122024,220,A,USD,"5,9402","5,9408"
13122024,220,A,USD,"6,0394","6,04"
16122024,220,A,USD,"6,0504","6,0509"
17122024,220,A,USD,"6,1679","6,1685"
18122024,220,A,USD,"6,1618","6,1624"
19122024,220,A,USD,"6,1835","6,1841"
20122024,220,A,USD,"6,0774","6,078"
23122024,220,A,USD,"6,1606","6,1612"
24122024,220,A,USD,"6,1527","6,1541"
26122024,220,A,USD,"6,165","6,1656"
27122024,220,A,USD,"6,1985","6,1991"
30122024,220,A,USD,"6,1917","6,1923"
31122024,220,A,USD,"6,1917","6,1923"
2012025,220,A,USD,"6,208","6,2086"
3012025,220,A,USD,"6,1557","6,1563"
6012025,220,A,USD,"6,1113","6,1119"
7012025,220,A,USD,"6,0735","6,0741"
8012025,220,A,USD,"6,1315","6,1321"
9012025,220,A,USD,"6,089","6,0896"
10012025,220,A,USD,"6,0959","6,0965"
13012025,220,A,USD,"6,1073","6,1079"
14012025,220,A,USD,"6,0665","6,0671"
15012025,220,A,USD,"6,0371","6,0377"
16012025,220,A,USD,"6,0316","6,0322"
17012025,220,A,USD,"6,0603","6,0609"
20012025,220,A,USD,"6,0492","6,0498"
21012025,220,A,USD,"6,0434","6,044"
22012025,220,A,USD,"5,9668","5,9674"
23012025,220,A,USD,"5,9393","5,9399"
24012025,220,A,USD,"5,8919","5,8925"
27012025,220,A,USD,"5,9266","5,9272"
28012025,220,A,USD,"5,8924","5,893"
29012025,220,A,USD,"5,859","5,8596"
30012025,220,A,USD,"5,9","5,9006"
31012025,220,A,USD,"5,8295","5,8301"
3022025,220,A,USD,"5,8681","5,8687"
4022025,220,A,USD,"5,7921","5,7927"
5022025,220,A,USD,"5,7991","5,7997"
6022025,220,A,USD,"5,785","5,7856"
7022025,220,A,USD,"5,7551","5,7557"
10022025,220,A,USD,"5,7802","5,7808"
11022025,220,A,USD,"5,7782","5,7788"
12022025,220,A,USD,"5,7705","5,7711"
13022025,220,A,USD,"5,7782","5,7788"
14022025,220,A,USD,"5,7277","5,7283"
17022025,220,A,USD,"5,7099","5,7105"
18022025,220,A,USD,"5,6973","5,6979"
19022025,220,A,USD,"5,7081","5,7087"
20022025,220,A,USD,"5,7013","5,7019"
21022025,220,A,USD,"5,7021","5,7027"
24022025,220,A,USD,"5,7252","5,7258"
25022025,220,A,USD,"5,7773","5,7779"
26022025,220,A,USD,"5,7751","5,7757"
27022025,220,A,USD,"5,8222","5,8228"
28022025,220,A,USD,"5,8482","5,8488"
5032025,220,A,USD,"5,7908","5,7914"
6032025,220,A,USD,"5,7483","5,7489"
7032025,220,A,USD,"5,7682","5,7688"
10032025,220,A,USD,"5,7924","5,793"
11032025,220,A,USD,"5,8341","5,8346"
12032025,220,A,USD,"5,8262","5,8268"
13032025,220,A,USD,"5,8125","5,8131"
14032025,220,A,USD,"5,7413","5,7419"
17032025,220,A,USD,"5,7076","5,7082"
18032025,220,A,USD,"5,6846","5,6852"
19032025,220,A,USD,"5,6651","5,6657"
20032025,220,A,USD,"5,6622","5,6628"
21032025,220,A,USD,"5,7235","5,7241"
24032025,220,A,USD,"5,7397","5,7403"
25032025,220,A,USD,"5,6986","5,6992"
26032025,220,A,USD,"5,7292","5,7298"
27032025,220,A,USD,"5,7468","5,7474"
28032025,220,A,USD,"5,7654","5,766"
31032025,220,A,USD,"5,7416","5,7422"
1042025,220,A,USD,"5,7045","5,7051"
2042025,220,A,USD,"5,6918","5,6923"
3042025,220,A,USD,"5,6062","5,6067"
4042025,220,A,USD,"5,7771","5,7777"
7042025,220,A,USD,"5,8871","5,8877"
8042025,220,A,USD,"5,9362","5,9368"
9042025,220,A,USD,"6,0599","6,0605"
10042025,220,A,USD,"5,9109","5,9115"
11042025,220,A,USD,"5,8731","5,8737"
14042025,220,A,USD,"5,8419","5,8425"
15042025,220,A,USD,"5,8701","5,8707"
16042025,220,A,USD,"5,8802","5,8808"
17042025,220,A,USD,"5,8553","5,8559"
22042025,220,A,USD,"5,749","5,7496"
23042025,220,A,USD,"5,6874","5,688"
24042025,220,A,USD,"5,6732","5,6738"
25042025,220,A,USD,"5,684","5,6846"
28042025,220,A,USD,"5,6675","5,6681"
29042025,220,A,USD,"5,6461","5,6467"
30042025,220,A,USD,"5,6602","5,6608"
2052025,220,A,USD,"5,6388","5,6394"
5052025,220,A,USD,"5,6514","5,652"
6052025,220,A,USD,"5,7204","5,721"
7052025,220,A,USD,"5,7368","5,7375"
8052025,220,A,USD,"5,6854","5,686"
9052025,220,A,USD,"5,6505","5,6511"
12052025,220,A,USD,"5,6816","5,6822"
13052025,220,A,USD,"5,6256","5,6262"
14052025,220,A,USD,"5,6094","5,61"
15052025,220,A,USD,"5,6322","5,6328"
16052025,220,A,USD,"5,6919","5,6925"
19052025,220,A,USD,"5,6585","5,6591"
20052025,220,A,USD,"5,6614","5,662"
21052025,220,A,USD,"5,6565","5,6571"
22052025,220,A,USD,"5,6384","5,639"
23052025,220,A,USD,"5,6926","5,6932"
26052025,220,A,USD,"5,6613","5,6619"
27052025,220,A,USD,"5,6533","5,6539"
28052025,220,A,USD,"5,693","5,6936"
29052025,220,A,USD,"5,6553","5,6559"
30052025,220,A,USD,"5,7081","5,7087"
2062025,220,A,USD,"5,6931","5,6937"
3062025,220,A,USD,"5,6688","5,6694"
4062025,220,A,USD,"5,6326","5,6332"
